Index,Present-day location,Name of continetal arc,Onset time [Ma],Termination time [Ma],Duration [Myr],Type,Group,max length [km],min length [km],ave/pref. length [km],length note,Upper plate,Subduted plate(ocean),Note,References
44,,Appalachian (Laurentian margin),460,420,60,collisonal,Iapetus-Rheic Oceans,4900,2450,3675,,Laurentia,Iapetus ocean,"closure of the Iapetus ocean between Laurentia and Avalonia, peri-Laurentian arcs",van Staal et al. (2009)
45,,Appalachian (Gondwana northern margin),405,330,75,collisonal,Iapetus-Rheic Oceans,2000,-,2000,,Gondwana (northern margin),Rheic ocean,"The exposure of Rheic ocean closure is rarely preserved in the North America (Nance and Linnemann, 2008). Arc-related igneous rocks of Devonian-Mississippian is absent in Appalachian orogen (Hermes and Murray, 1988)","Nance and Linnemann (2008); Murphy et al., (2011)"
46,,Variscan,405,330,75,collisonal,Iapetus-Rheic Oceans,2600,-,2600,,central-west Europe (Cadomia block),Rheic ocean,"closure of Rheic ocean between Laurantia+Avalonia+Baltica and Gondwana, continental arc magmatism in central and western Europe (Korner and Romer, 2013) e.g. Mid German Crystalline zone (418-400 Ma) and Bohemian Massif (335-320 Ma)",Korner and Romer (2013); Nance and Linnemann (2008)
47,,Avalonia-Cadomia (Gondwana S. American-African margin),660,550,110,accretionary,peri-Gondwana,9000,4500,6750,,Gondwana,proto-Tethyan,developed on proto-Pacific (southern) margin of Gondwana,Linnemann et al. (2008); Veevers (2003); Nancy and Murphy (1996); O' Brien et al. (1996)
48,,Gondwana proto-Tethyan margin (Indian-Australian margin),550,490,60,accretionary ,peri-Gondwana,7700,3850,5775,,N. Gondwana,proto-Tethyan,"linked to Pre-Cam-Early Paleozoic magmatism along the margins of Arabia, central Iran and SW Turkey, north India (Zhu D.-C. et al. 2012)",Cawood et al. (2007); Zhu et al. (2012); Kusky et al. (2003)
49,,Kunlun (Paleozoic),510,430,80,accretionary ,peri-Gondwana,1900,-,1900,,Kunlun-Qaidam terrane,oceans between North China+Qilian and Kunlun-Qaidam ,"closure of oceans between North China-Qilian and Kunlun-Qaidam (accretions of south, central, Qilian terranes)",Yang et al.(1996); Wang et al. (2013); Dong et al. (2011)
50,,Qinling (Paleozoic),510,430,80,accretionary ,peri-Gondwana,1600,-,1600,,North China,Shangdan ocean,"closure of Shangdan ocean between Qiangtang Block and N China, Dong et al (2011) suggested it might be an island arc",Yang et al.(1996); Wang et al. (2013); Dong et al. (2011)
51,,Jiangda-Hoh Xil Shan (Triassic),240,200,40,collisional,Paleo-Tethyan,2700,500,1600,,Qiangtang terrane,Jinsha ocean,"closure of Jinsha ocean between Qiangtang and north China, north margin of Qiangtang ",Yin and Harrison (2000); Zhai et al. (2011)
52,,Jiangda-Hoh Xil Shan (Jurassic),200,170,30,collisional,Paleo-Tethyan,2300,2300,2300,,Qiangtang terrane,Jinsha ocean,"closure of Jinsha ocean between Qiangtang and north China, north margin of Qiangtang ",Yin and Harrison (2000); Zhai et al. (2011)
53,,Karakorum (Cretaceous),170,100,70,collisional,Paleo-Tethyan,800,800,800,,Qiangtang terrane,Jinsha ocean,"closure of Jinsha ocean: younging westward, north edge of Karakorum terrane. As western continuation of the Jiangda-Hoh Xil Shan arc ",Yin and Harrison (2000); Searle (1991)
54,,Kunlun (Carboniferous-Permian),340,240,100,collisional,Paleo-Tethyan,1800,1800,1800,,Tarim+western Kunlun,Paleo-Tethyan (Songpan-Ganzi-Hoh Xil ocean),closure of ocean between terranes in Paleo-Tethyan ocean ,Jiang et al. (2013); Yang et al. (1996)
55,,Qinling (Permian),300,240,60,collisional,Paleo-Tethyan,2200,-,2200,,South China,Mianlue ocean,"closure of Mianlue ocean between north and south China, include arcs on S. China (600 km )",Wang et al. (2013); Dong et al. (2011)
56,,Gangdese (Late Jurassic),160,145,15,collisional,Neo-Tethyan,400,-,400,400 km length see Ji et al. (2009),Lhasa terrane,ocean between Lhasa and Qiangtang terranes,"in northern Lhasa terrane, southward subduction of ocean between Lhasa and Qiangtang terranes",Yin and Harrison (2000); Xu et al. (1985)
57,,Gangdese (Cretaceous-Paleocene),120,40,80,collisional,Neo-Tethyan,3100,3100,3100,,Eurasia,Neo-Tethyan,closure of Neo-Tethyan ocean between India and Euroasia,Yin and Harrison (2000); Zhu et al. (2015)
58,,Iran-Turkey (Lizizong volcanic belt),60,40,20,collisional,Neo-Tethyan,4000,4000,4000,,Eurasia,Neo-Tethyan,final phase of Neo-Tethyan subduction,"Yin (2010); Mo et al., (2008)"
59,,Indochina-Sumatra (Permian) ,300,250,50,accretionary,Tethyan,4000,900,2450,,Indochina,Tethyan ,,Metcalfe (1996); Metcalfe (2011)
60,,Indochina-Sumatra (Triassic) ,250,200,50,accretionary,Tethyan,3000,3000,3000,,Indochina,Tethyan ,,Metcalfe (1996); Metcalfe (2011)
61,,Indochina-Sumatra Jurassic) ,200,145,55,accretionary,Tethyan,4600,1200,2900,,Indochina,Tethyan ,,Metcalfe (1996); Metcalfe (2011)
62,,Indochina-Sumatra  (Cretaceous),145,66,79,accretionary,Tethyan,3400,3400,3400,,Indochina,Tethyan ,,Metcalfe (1996); Metcalfe (2011)
63,,Indochina-Sumatra  (Palegene),66,23,42,accretionary,Tethyan,2400,-,2400,,Indochina,Australian/Indian plate,,Metcalfe (1996); Metcalfe (2011)
64,,Sumatra (Neogene-presentday),23,0,22,accretionary,Tethyan,2700,2700,2700,,Indochina,Australian/Indian plate,,Metcalfe (1996); Metcalfe (2011)
65,,Tian Shan-Solonker (Early Paleozoic),500,400,100,accretionary,Paleo-Asian Oceans,3700,-,3700,,Tarim-N. China,Paleo-Asian Oceans,Subduction of Paleo-Asian ocean beneath the NE Gondwana (the Australian-Inidan margin),Han et al. (2016); Song et al. (2015)
66,,Tian Shan-Solonker (Carboniferous),350,300,50,accretionary,Paleo-Asian Oceans,3700,-,3700,,Tarim-N. China,Paleo-Asian Oceans,,Zhang et al. (2007); Zhang et al. (2016)
67,,"Solonker (bivergent, Permian)",300,240,60,collisional,Paleo-Asian Oceans,2000,2000,2000,need to x2,N. China & S. Mongoloa,Solonker Ocean,"closure of Solonker ocean between N. China-Tarim and Mongolia, final phase of Central-Asian-Orogenic-Belts; double-sided subduction (Xiao et al., 2015)",Xiao et al. (2015); Windley et al. (2007); Xiao et al. (2003); Zhang et al. (2007)
68,,"Kazakhstan ( ""Devonian"" arc)",420,380,40,collisional,Paleo-Asian Oceans,2400,2400,2400,,Kazakhstan,Paleo-Asian Oceans,"the bending of Kazakhstan arcs in Permian, reflecting the opposing motion of the Siberia and Tarim squeezing Kazakhstan (Xiao et al. 2015)",Xiao et al. (2015); Windley et al. (2007)
69,,Kazakhstan Balkhash-Yili (Caboniferous),380,300,80,collisional,Paleo-Asian Oceans,1500,1500,1500,,Kazakhstan,Paleo-Asian Oceans,closure of ocean between Tarim and Balkhash-Yili terrane,Xiao et al. (2015); Windley et al. (2007); Han et al. (2011); Long et al. (2011)
70,,Uralian,370,320,50,collisional,Paleo-Asian Oceans,700,700,700,,Baltica,Uralian ocean,"closure of Uralian ocean between Baltica and Kazakhstan, the early clousre of the ocean is accommodated by intra-oceanic arcs",Puchkov (2009); Bea et al. (1997)
71,,Altai (Early Paleozoic-Devonian),480,360,120,accretionary,Paleo-Asian Oceans,1900,-,1900,,Largely Siberia,Paleo-Asian Oceans,,Xiao et al. (2008); Yuan et al. (2007); Sun et al. (2008); Cai et al. (2011); Li et al. (2016)
72,,Altai (Carboniferous),360,300,60,accretionary,Paleo-Asian Oceans,1200,-,1200,,Largely Siberia,Paleo-Asian Oceans,closure of ocean between Tarim and Siberia,Xiao et al. (2008); Yuan et al. (2007); Sun et al. (2008); Cai et al. (2011); Li et al. (2016)
73,,Mongol-Okhotsk (bivergent),250,145,105,collisional,Paleo-Asian Oceans,3500,3500,3500,need to x2,Siberia & Amuria (Mongolia),Okhostsk ocean,"closure of Okhostsk ocean between Siberia and Mongoia, two sided subduction (Van der Voo et al. 2015), major arc on Siberia side, minor one on Mongolia (Amurian) side, scissor-like closure, from east to west",van der Voo et al. (2015); Tomurtogoo et al. (2005); Kravchinsky et al. (2002)
74,,Verhoyansk (Uyadian-Yasachnaya),170,150,20,collisional,Paleo-Asian Oceans,2400,2400,2400,,Omulevka microcontinent (Kolyma-Omolon block),Ocean between Siberia and Omulevka microcontient,closure of ocean between Siberia and Omulevka microcontient,Parfenov (1991); Oxman (2003)
75,,"Arcs in the Arctic region (Koni-Taigonos arc, Uda-Murgal arc, Oloy arc)",200,100,100,accretionary,Circum-Pacific,1500,-,1500,,terranes in the Arcti & Siberia,Pacific and oceans between terranes,,Shephard et al. (2013); Amato et al. (2015)
76,,Timanian,650,540,110,accretionary,peri-Gondwana-related,1800,900,1350,,East Baltica,Ocean between Baltica and Gondwana,,Gee and Pease (2004); Roberts and Siedlecka (2002); Roberts and Olovyanishnikov (2004)
